id,name,description
smartphone,Smartphone,High-end smartphone with 128GB storage and 6GB RAM.
laptop,Laptop,15-inch laptop with 512GB SSD and 16GB RAM.
headphones,Headphones,Wireless noise-cancelling over-ear headphones.
smartwatch,Smartwatch,Fitness tracking smartwatch with heart rate monitor.
tablet,Tablet,10-inch tablet with 64GB storage and stylus support.
camera,Camera,Mirrorless camera with 24.2MP sensor and 4K video recording.
speaker,Speaker,Bluetooth portable speaker with 12-hour battery life.
keyboard,Keyboard,Mechanical keyboard with customizable RGB lighting.
mouse,Mouse,Ergonomic wireless mouse with adjustable DPI.
monitor,Monitor,27-inch 4K UHD monitor with HDR support.
router,Router,Wireless dual-band router with 5GHz support.
smarttv,Smart TV,55-inch 4K Smart TV with streaming apps built-in.
gamingconsole,Gaming Console,Next-gen gaming console with 1TB storage.
externalharddrive,External Hard Drive,2TB external hard drive with USB 3.0 support.
webcam,Webcam,1080p HD webcam with built-in microphone.
drone,Drone,Quadcopter drone with 4K camera and GPS.
smartthermostat,Smart Thermostat,Wi-Fi enabled smart thermostat with voice control.
wirelesscharger,Wireless Charger,Fast wireless charger compatible with all Qi devices.
ereader,E-Reader,6-inch e-reader with adjustable backlight and 8GB storage.
powerbank,Power Bank,20000mAh power bank with USB-C and USB-A ports.
smartlightbulb,Smart Light Bulb,Wi-Fi controlled LED light bulb with adjustable color.
vrheadset,VR Headset,Virtual reality headset with 110-degree field of view.
smartdoorbell,Smart Doorbell,Video doorbell with motion detection and cloud storage.
electrictoothbrush,Electric Toothbrush,Rechargeable electric toothbrush with multiple modes.
portablessd,Portable SSD,1TB portable SSD with USB 3.1 interface.
actioncamera,Action Camera,Waterproof action camera with 4K recording and image stabilization.
smartspeaker,Smart Speaker,Smart speaker with voice assistant and premium sound quality.
projector,Projector,Full HD projector with 3000 lumens and HDMI input.
bluetoothbuds,Bluetooth Earbuds,True wireless Bluetooth earbuds with noise isolation.
wirelesskeyboard,Wireless Keyboard,Compact wireless keyboard with long battery life.
