id,name,description,category_id
smartphone,Smartphone,High-end smartphone with 128GB storage and 6GB RAM.,smartphones
laptop,Laptop,15-inch laptop with 512GB SSD and 16GB RAM.,laptops
headphones,Headphones,Wireless noise-cancelling over-ear headphones.,headphone
smartwatch,Smartwatch,Fitness tracking smartwatch with heart rate monitor.,smartwatch
tablet,Tablet,10-inch tablet with 64GB storage and stylus support.,laptops
camera,Camera,Mirrorless camera with 24.2MP sensor and 4K video recording.,camera
speaker,Speaker,Bluetooth portable speaker with 12-hour battery life.,speaker
keyboard,Keyboard,Mechanical keyboard with customizable RGB lighting.,keyboard
mouse,Mouse,Ergonomic wireless mouse with adjustable DPI.,mouse
monitor,Monitor,27-inch 4K UHD monitor with HDR support.,monitor
router,Router,Wireless dual-band router with 5GHz support.,network
smarttv,Smart TV,55-inch 4K Smart TV with streaming apps built-in.,monitor
gamingconsole,Gaming Console,Next-gen gaming console with 1TB storage.,gaming
externalharddrive,External Hard Drive,2TB external hard drive with USB 3.0 support.,storage
webcam,Webcam,1080p HD webcam with built-in microphone.,camera
drone,Drone,Quadcopter drone with 4K camera and GPS.,electronics
smartthermostat,Smart Thermostat,Wi-Fi enabled smart thermostat with voice control.,electronics
wirelesscharger,Wireless Charger,Fast wireless charger compatible with all Qi devices.,accessories
ereader,E-Reader,6-inch e-reader with adjustable backlight and 8GB storage.,accessories
powerbank,Power Bank,20000mAh power bank with USB-C and USB-A ports.,accessories
smartlightbulb,Smart Light Bulb,Wi-Fi controlled LED light bulb with adjustable color.,accessories
vrheadset,VR Headset,Virtual reality headset with 110-degree field of view.,gaming
smartdoorbell,Smart Doorbell,Video doorbell with motion detection and cloud storage.,accessories
electrictoothbrush,Electric Toothbrush,Rechargeable electric toothbrush with multiple modes.,accessories
portablessd,Portable SSD,1TB portable SSD with USB 3.1 interface.,storage
actioncamera,Action Camera,Waterproof action camera with 4K recording and image stabilization.,camera
smartspeaker,Smart Speaker,Smart speaker with voice assistant and premium sound quality.,speaker
projector,Projector,Full HD projector with 3000 lumens and HDMI input.,monitor
bluetoothbuds,Bluetooth Earbuds,True wireless Bluetooth earbuds with noise isolation.,headset
wirelesskeyboard,Wireless Keyboard,Compact wireless keyboard with long battery life.,keyboard
